calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
200,0.27,0.14,"select b.id, b.status, b.start_time, b.end_time, b.party_size, b.customer_name, b.reference,
             a.table_id, t.table_number, t.capacity, t.section
      from public.bookings b
      left join public.booking_table_assignments a on a.booking_id = b.id
      left join public.table_inventory t on t.id = a.table_id
      where b.restaurant_id = $1
        and b.booking_date = $2
      order by b.start_time asc",-5073827570665881390,3000,11421,0,0,0,28.11,0
4,6.28,6.07,"select
          min(booking_date)::text as min,
          max(booking_date)::text as max
        from public.bookings
        where reference like $1",8499484755594338499,4,3308,0,0,0,24.27,0
1,22.51,22.51,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-523665733887430305,148,8322,0,0,0,22.51,307530
1,19.38,19.38,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",2523978447040130227,120,6762,0,0,0,19.38,280950
1,19.33,19.33,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",6181779666027417709,154,8658,0,0,0,19.33,336736
1,18.35,18.35,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",1636541654264655233,146,8216,0,0,0,18.35,320254
1,17.30,17.30,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",264088007467573519,142,7984,0,0,0,17.30,297442
1,16.75,16.75,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",7485609838551182404,114,5862,0,0,0,16.75,245982
1,16.69,16.69,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-3799508113398774411,140,7882,0,0,0,16.69,310742
1,16.56,16.56,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",1291968902622225763,123,6928,0,0,0,16.56,280378
