calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
50,1.72,0.55,"insert into public.restaurant_service_periods (id, restaurant_id, name, day_of_week, start_time, end_time, booking_option) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72",-4640839777296544847,600,8664,2,0,0,27.38,294594
170,0.73,0.49,"SELECT
  c.castsource::regtype::text,
  c.casttarget::regtype::text,
  c.castfunc::regproc::text
FROM
  pg_catalog.pg_cast c
JOIN pg_catalog.pg_type src_t
  ON c.castsource::oid = src_t.oid
JOIN pg_catalog.pg_type dst_t
  ON c.casttarget::oid = dst_t.oid
WHERE
  c.castcontext = $1
  AND c.castmethod = $2
  AND has_function_privilege(c.castfunc, $3)
  AND ((src_t.typtype = $4 AND c.casttarget IN ($5::regtype::oid , $6::regtype::oid))
   OR (dst_t.typtype = $7 AND c.castsource IN ($8::regtype::oid",-6237619394974271669,0,60860,0,0,0,83.36,0
12,1.84,0.40,"INSERT INTO ""identities"" (""created_at"", ""id"", ""identity_data"", ""last_sign_in_at"", ""provider"", ""provider_id"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8)",-5027817292150346595,12,216,0,0,0,4.84,16358
170,0.62,0.36,"with
all_relations as (
  select reltype
  from pg_class
  where relkind in ($2,$3,$4,$5,$6)
  union
  select oid
  from pg_type
  where typname = $7
),
media_types as (
    SELECT
      t.oid,
      lower(t.typname) as typname,
      t.typnamespace,
      case t.typname
        when $8 then $9
        else t.typname
      end as resolved_media_type
    FROM pg_type t
    JOIN pg_type b ON t.typbasetype = b.oid
    WHERE
      t.typbasetype <> $10 and
      (t.typname ~* $11 or t.typname = $12)
",7459086053737063230,0,6016,0,0,0,61.40,248
600,1.14,0.36,"select id, start_at, end_at, booking_date, start_time, end_time, party_size, status, customer_name, customer_email, created_at
      from public.bookings
      where restaurant_id = $1
        and start_at >= $2
        and start_at < $3
        and (customer_name ilike $6 or customer_email ilike $6)
      order by start_at desc
      limit $4 offset $5",3375285890734606959,30000,20264,0,0,0,215.74,0
11,0.57,0.34,"WITH pgrst_source AS (INSERT INTO ""public"".""user_profiles""(""id"", ""is_email_suppressed"", ""marketing_opt_in"", ""name"") SELECT ""pgrst_body"".""id"", ""pgrst_body"".""is_email_suppressed"", ""pgrst_body"".""marketing_opt_in"", ""pgrst_body"".""name"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""id"", ""is_email_suppressed"", ""marketing_opt_in"", ""name"" FROM json_to_record(pgrst_payload.json_data) AS _(""id"" uuid, ""is_email_suppressed"" boolean, ""marketing_opt_in"" boolean, ""name"" text) ) pgrst_body WHERE ",1174693800102080939,11,191,0,0,0,3.72,6162
11,1.61,0.33,"INSERT INTO mfa_amr_claims(id, session_id, created_at, updated_at, authentication_method) values ($1, $2, $3, $4, $5)
			ON CONFLICT ON CONSTRAINT mfa_amr_claims_session_id_authentication_method_pkey
			DO UPDATE SET updated_at = $6",3341600687092967118,11,233,2,0,0,3.62,9059
11,0.72,0.32,"WITH pgrst_source AS (INSERT INTO ""public"".""restaurant_memberships""(""restaurant_id"", ""role"", ""user_id"") SELECT ""pgrst_body"".""restaurant_id"", ""pgrst_body"".""role"", ""pgrst_body"".""user_id"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""restaurant_id"", ""role"", ""user_id"" FROM json_to_recordset(pgrst_payload.json_data) AS _(""restaurant_id"" uuid, ""role"" text, ""user_id"" uuid) ) pgrst_body WHERE set_config($2, (coalesce(nullif(current_setting($3, $4), $5)::int, $6) + $7)::text, $8) <> $9 ON",-1886112201284508770,11,215,0,0,0,3.50,20918
12,1.28,0.31,"INSERT INTO ""users"" (""aud"", ""banned_until"", ""confirmation_sent_at"", ""confirmation_token"", ""created_at"", ""deleted_at"", ""email"", ""email_change"", ""email_change_confirm_status"", ""email_change_sent_at"", ""email_change_token_current"", ""email_change_token_new"", ""email_confirmed_at"", ""encrypted_password"", ""id"", ""instance_id"", ""invited_at"", ""is_anonymous"", ""is_sso_user"", ""last_sign_in_at"", ""phone"", ""phone_change"", ""phone_change_sent_at"", ""phone_change_token"", ""phone_confirmed_at"", ""raw_app_meta_data"", ""ra",-5643122554370341715,12,390,0,0,0,3.72,18150
50,0.55,0.27,"insert into public.restaurant_operating_hours (id, restaurant_id, day_of_week, effective_date, opens_at, closes_at, is_closed, notes, reservation_interval_minutes, reservation_slot_times) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10), ($11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30), ($31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45, $46, $47, $48, $49, $50), ($51, $52, $53, $54, $55, $56, $57, $58, $59, $60), ($",3998557534874489965,350,3103,1,0,0,13.37,145806
