queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
8580411586163530256,7,36.11,5.16,6.81,1627,18531,0,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
1689837619145390454,89,32.73,0.37,9.44,89,1069,0,0,0,0,SELECT * FROM pgbouncer.get_auth($1)
-7636120669495855217,1,27.67,27.67,27.67,1,0,0,0,0,58,"SELECT labelfile, spcmapfile, lsn FROM pg_backup_stop($1)"
6899829032549089367,1,20.50,20.50,20.50,0,655,12,0,0,16812,"DO $$ BEGIN IF NOT EXISTS(SELECT * FROM information_schema.constraint_column_usage WHERE table_schema = 'auth' and table_name='refresh_tokens' and constraint_name='refresh_tokens_token_unique') THEN ALTER TABLE ""auth"".""refresh_tokens"" ADD C"
-7497515440265900753,1,15.67,15.67,15.67,0,1858,9,0,0,27498,DO $$ BEGIN IF EXISTS (SELECT 1 FROM information_schema.columns WHERE table_name = 'buckets' AND column_name = 'max_file_size_kb') THEN IF NOT EXISTS (SELECT 1 FROM information_schema.columns WHERE table_name = 'buckets' AND column_name = '
8580411586163530256,3,14.92,4.97,5.02,699,7942,1,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
-7001631309158697374,1,14.58,14.58,14.58,0,454,28,0,0,103141,"-- alter user schema ALTER TABLE auth.users ADD COLUMN IF NOT EXISTS phone VARCHAR(15) NULL UNIQUE DEFAULT NULL, ADD COLUMN IF NOT EXISTS phone_confirmed_at timestamptz NULL DEFAULT NULL, ADD COLUMN IF NOT EXISTS phone_change VARCHAR(15) NU"
4151217712250094260,5,14.36,2.87,3.94,5,2606,0,0,0,0,"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""p_restaurant_id"", ""p_range"", ""p_page"", ""p_page_size"", ""p_statuses"", ""p_recipient_email"", ""p_message_id"", ""p_booking_ref"", ""p_template_"
-4750849476906528373,1,14.16,14.16,14.16,30,5317,0,0,0,0,"select n.nspname as schema, c.relname as table, c.reltuples::bigint as est_rows, pg_size_pretty(pg_total_relation_size(c.oid)) as total_size, pg_size_pretty(pg_relation_size(c.oid)) as table_size, pg_size_pretty(pg_indexes_size(c.oid)) as i"
-9031200663809152524,1,12.93,12.93,12.93,0,731,2,0,0,37077,"DO $$ DECLARE is_multitenant bool = COALESCE(current_setting('storage.multitenant', true), 'false')::boolean; anon_role text = COALESCE(current_setting('storage.anon_role', true), 'anon'); authenticated_role text = COALESCE(current_setting("
7460466373297018969,1,12.20,12.20,12.20,0,1261,10,0,0,101957,"-- adds confirmed at ALTER TABLE auth.users ADD COLUMN IF NOT EXISTS confirmed_at timestamptz GENERATED ALWAYS AS (LEAST (users.email_confirmed_at, users.phone_confirmed_at)) STORED"
-7829172739439062392,1,11.78,11.78,11.78,0,665,10,0,0,47653,"-- adds identities table CREATE TABLE IF NOT EXISTS auth.identities ( id text NOT NULL, user_id uuid NOT NULL, identity_data JSONB NOT NULL, provider text NOT NULL, last_sign_in_at timestamptz NULL, created_at timestamptz NULL, updated_at t"
-5269426256945902733,2,11.02,5.51,10.30,0,1702,1,0,0,222764,CREATE TABLE IF NOT EXISTS realtime.messages_2026_02_06 PARTITION OF realtime.messages FOR VALUES FROM ('2026-02-06') TO ('2026-02-07')
